source,title,company,logo,location,job_type,date_posted,date_ago,url,see_more
Farojob,Digiarts recrute Responsable du développement commercial,digiarts,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,"سوسة, سوسة, تونس‎",Secteur privé,15 avril 2025,il y a 7 mois,https://www.farojob.net/jobs/digiarts-recrute-responsable-du-developpement-commercial/,https://www.farojob.net/jobs/digiarts-recrute-responsable-du-developpement-commercial/
Farojob,Digiarts recrute Développeur Web & Graphiste,digiarts,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,"Gouvernorat de Sousse, Tunisie",Secteur privé,15 avril 2025,il y a 7 mois,https://www.farojob.net/jobs/digiarts-recrute-developpeur-web-graphiste/,https://www.farojob.net/jobs/digiarts-recrute-developpeur-web-graphiste/
Farojob,RE/MAX Smart recrute Conseiller en Immobilier,RE/MAX Smart,https://www.farojob.net/wp-content/uploads/2025/04/Sans-titre-4-1-100x100.jpg,"30 Avenue Jallouli Fares - APP N°4, Ennasr 1, Ariana, Tunisia 2037, Ariana, Tunisia",Freelance,10 avril 2025,il y a 8 mois,https://www.farojob.net/jobs/re-max-smart-recrute-conseiller-en-immobilier/,https://www.farojob.net/jobs/re-max-smart-recrute-conseiller-en-immobilier/
Farojob,M3S Solutions recrute Assistante administrative // Agents Call Center // Chargés de suivi de dossier,M3S Solutions,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,"Les Berges du Lac, Tunis, Tunisie",Secteur privé,7 avril 2025,il y a 8 mois,https://www.farojob.net/jobs/m3s-solutions-recrute-assistante-administrative-agents-call-center-charges-de-suivi-de-dossier/,https://www.farojob.net/jobs/m3s-solutions-recrute-assistante-administrative-agents-call-center-charges-de-suivi-de-dossier/
Farojob,Société d’électroménager recrute Techniciens Froid et Climatisation,Société d’électroménager,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,"Tunis, Gouvernorat de Tunis, Tunisie",Secteur privé,7 avril 2025,il y a 8 mois,https://www.farojob.net/jobs/societe-delectromenager-recrute-techniciens-froid-et-climatisation/,https://www.farojob.net/jobs/societe-delectromenager-recrute-techniciens-froid-et-climatisation/
Farojob,STGI recrute Tapissier,Stgi,https://www.farojob.net/wp-content/uploads/2018/11/stgi-marine.png,N/A,Secteur privé,27 mars 2025,il y a 8 mois,https://www.farojob.net/jobs/stgi-recrute-tapissier/,https://www.farojob.net/jobs/stgi-recrute-tapissier/
Farojob,Business Hôtel recrute Chauffeur,Business hôtel Tunis,https://www.farojob.net/wp-content/uploads/2016/12/business-hotel-tunis.png,Tunis,Secteur privé,27 mars 2025,il y a 8 mois,https://www.farojob.net/jobs/business-hotel-recrute-chauffeur/,https://www.farojob.net/jobs/business-hotel-recrute-chauffeur/
Farojob,MBG Profilage recrute Conducteur Machine,MBG Profilage,https://www.farojob.net/wp-content/uploads/2025/03/mbgprofilage-100x100.png,N/A,Secteur privé,27 mars 2025,il y a 8 mois,https://www.farojob.net/jobs/mbg-profilage-recrute-conducteur-machine/,https://www.farojob.net/jobs/mbg-profilage-recrute-conducteur-machine/
Farojob,Sohatram recrute Mécanicien Poids Lourd,SOHATRAM,https://www.farojob.net/wp-content/uploads/2019/09/Sohatram.png,N/A,Secteur privé,27 mars 2025,il y a 8 mois,https://www.farojob.net/jobs/sohatram-recrute-mecanicien-poids-lourd/,https://www.farojob.net/jobs/sohatram-recrute-mecanicien-poids-lourd/
Farojob,WorldWide Studies recrute Réceptionniste,Worldwide Studies,https://www.farojob.net/wp-content/uploads/2024/07/worldwidestudies-100x100.png,Ariana,Secteur privé,27 mars 2025,il y a 8 mois,https://www.farojob.net/jobs/worldwide-studies-recrute-receptionniste/,https://www.farojob.net/jobs/worldwide-studies-recrute-receptionniste/
Farojob,Hôtel Le Pacha recrute des Collaborateurs,Hotel Le Pacha,https://www.farojob.net/wp-content/uploads/2018/11/hotel_pacha.png,Tunis,Secteur privé,27 mars 2025,il y a 8 mois,https://www.farojob.net/jobs/hotel-le-pacha-recrute-des-collaborateurs/,https://www.farojob.net/jobs/hotel-le-pacha-recrute-des-collaborateurs/
Farojob,Hôtel Occidental recrute Factotum,Hôtel Occidental,https://www.farojob.net/wp-content/uploads/2025/03/hteloccidental-100x100.png,Sousse,Secteur privé,27 mars 2025,il y a 8 mois,https://www.farojob.net/jobs/hotel-occidental-recrute-factotum/,https://www.farojob.net/jobs/hotel-occidental-recrute-factotum/
Farojob,Hôtel Occidental recrute Valet de Chambre,Hôtel Occidental,https://www.farojob.net/wp-content/uploads/2025/03/hteloccidental-100x100.png,Sousse,Secteur privé,27 mars 2025,il y a 8 mois,https://www.farojob.net/jobs/hotel-occidental-recrute-valet-de-chambre/,https://www.farojob.net/jobs/hotel-occidental-recrute-valet-de-chambre/
Farojob,Clinique Elmourouj recrute Techniciens Imagerie Médicale,clinique elmourouj,https://www.farojob.net/wp-content/uploads/2025/03/clinique-elmourouj-200x200-1-100x100.png,Tunis,Secteur privé,27 mars 2025,il y a 8 mois,https://www.farojob.net/jobs/clinique-elmourouj-recrute-techniciens-imagerie-medicale/,https://www.farojob.net/jobs/clinique-elmourouj-recrute-techniciens-imagerie-medicale/
Farojob,BK Food International recrute Responsable Management Qualité,BK FOOD,https://www.farojob.net/wp-content/uploads/2021/10/bkfood-bk-food-200x200-1.png,N/A,Secteur privé,22 mars 2025,il y a 8 mois,https://www.farojob.net/jobs/bk-food-international-recrute-responsable-management-qualite/,https://www.farojob.net/jobs/bk-food-international-recrute-responsable-management-qualite/
Farojob,Ulysse voyages Tunisie recrute Conseillère Voyages (H/F),Ulysse voyages Tunisie,https://www.farojob.net/wp-content/uploads/2025/08/LOGO-Ulysse-Voyages-1-100x100.jpeg,"162, Avenue l’UMA 2036 soukra Ariana, Immeuble Omran Centre, bureau B1.4",Secteur privé,14 août 2025,il y a 3 mois,https://www.farojob.net/jobs/ulysse-voyages-tunisie-recrute-conseillere-voyages-h-f/,https://www.farojob.net/jobs/ulysse-voyages-tunisie-recrute-conseillere-voyages-h-f/
Farojob,ALUBAT recrute Des techniciens en menuiserie d’aluminium,ALUBAT,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,Ben Arous,Secteur privé,6 août 2025,il y a 4 mois,https://www.farojob.net/jobs/alubat-recrute-des-techniciens-en-menuiserie-daluminium/,https://www.farojob.net/jobs/alubat-recrute-des-techniciens-en-menuiserie-daluminium/
Farojob,Hotel Marhaba Club Sousse recrute Veilleur de nuit,Hotel Sousse 4*,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,"سوسة, سوسة, تونس‎",Secteur privé,4 août 2025,il y a 4 mois,https://www.farojob.net/jobs/hotel-marhaba-club-sousse-recrute-veilleur-de-nuit/,https://www.farojob.net/jobs/hotel-marhaba-club-sousse-recrute-veilleur-de-nuit/
Farojob,Hotel Marhaba Club Sousse recrute Réceptionniste,Hotel Sousse 4*,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,"سوسة, سوسة, تونس‎",Secteur privé,4 août 2025,il y a 4 mois,https://www.farojob.net/jobs/hotel-marhaba-club-sousse-recrute-receptionniste/,https://www.farojob.net/jobs/hotel-marhaba-club-sousse-recrute-receptionniste/
Farojob,Clinique du centre recrute Chargée Marketing & Design Graphique,Clinique du centre,https://www.farojob.net/wp-content/uploads/2024/07/LOGO-100x100.png,"Avenue 2 Mars, Ksar Hellal, Tunisia",Secteur privé,8 juillet 2025,il y a 5 mois,https://www.farojob.net/jobs/clinique-du-centre-recrute-chargee-marketing-design-graphique/,https://www.farojob.net/jobs/clinique-du-centre-recrute-chargee-marketing-design-graphique/
Farojob,Clinique du centre recrute Technicien de Maintenance Chaud-Froid,Clinique du centre,https://www.farojob.net/wp-content/uploads/2024/07/LOGO-100x100.png,"Avenue 2 Mars, Ksar Hellal, Tunisia",Secteur privé,7 juillet 2025,il y a 5 mois,https://www.farojob.net/jobs/clinique-du-centre-recrute-technicien-de-maintenance-chaud-froid/,https://www.farojob.net/jobs/clinique-du-centre-recrute-technicien-de-maintenance-chaud-froid/
Farojob,csforyou recrute Gestionnaire de paie expérimenté(e) – Maîtrise SAGE COLA – tunisie,csforyou,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,RUE l argent lac2,Secteur privé,7 juillet 2025,il y a 5 mois,https://www.farojob.net/jobs/csforyou-recrute-gestionnaire-de-paie-experimentee-maitrise-sage-cola-tunisie/,https://www.farojob.net/jobs/csforyou-recrute-gestionnaire-de-paie-experimentee-maitrise-sage-cola-tunisie/
Farojob,Call In Call Out recrute Télé-Opérateur Nouveau,Call In Call Out,https://www.farojob.net/wp-content/uploads/2025/05/logo_white_background-2-100x100.jpg,khzema ouest,Secteur privé,4 juillet 2025,il y a 5 mois,https://www.farojob.net/jobs/call-in-call-out-recrute-tele-operateur-nouveau/,https://www.farojob.net/jobs/call-in-call-out-recrute-tele-operateur-nouveau/
Farojob,DELTA GRAFIX recrute Soudeur Semi Automatique / Installateur,DELTA GRAFIX,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,"Megrine, Gouvernorat de Tunis, Tunisie",Secteur privé,1 juillet 2025,il y a 5 mois,https://www.farojob.net/jobs/delta-grafix-recrute-soudeur-semi-automatique-installateur/,https://www.farojob.net/jobs/delta-grafix-recrute-soudeur-semi-automatique-installateur/
Farojob,DELTA GRAFIX recrute Poseur d’enseigne et signalétique,DELTA GRAFIX,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,Megrine,Secteur privé,23 juin 2025,il y a 5 mois,https://www.farojob.net/jobs/delta-grafix-recrute-poseur-denseigne-et-signaletique/,https://www.farojob.net/jobs/delta-grafix-recrute-poseur-denseigne-et-signaletique/
Farojob,Clinique du centre recrute Assistante Administrative,Clinique du centre,https://www.farojob.net/wp-content/uploads/2024/07/LOGO-100x100.png,"Avenue 2 Mars, Ksar Hellal, Tunisia",Secteur privé,23 juin 2025,il y a 5 mois,https://www.farojob.net/jobs/clinique-du-centre-recrute-assistante-administrative/,https://www.farojob.net/jobs/clinique-du-centre-recrute-assistante-administrative/
Farojob,Call In Call Out recrute Télé-Opérateur Reception d’appel,Call In Call Out,https://www.farojob.net/wp-content/uploads/2025/05/logo_white_background-2-100x100.jpg,khzema ouest,Secteur privé,17 juin 2025,il y a 5 mois,https://www.farojob.net/jobs/call-in-call-out-recrute-tele-operateur-reception-dappel/,https://www.farojob.net/jobs/call-in-call-out-recrute-tele-operateur-reception-dappel/
Farojob,Clinique elmourouj recrutetechniciens en imagerie médicale,clinique elmourouj,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,"El Mourouj 1, El Mourouj, Tunisie",Secteur privé,16 juin 2025,il y a 5 mois,https://www.farojob.net/jobs/clinique-elmourouj-recrutetechniciens-en-imagerie-medicale/,https://www.farojob.net/jobs/clinique-elmourouj-recrutetechniciens-en-imagerie-medicale/
Farojob,Clinique du centre recrute Contrôleur de Gestion,Clinique du centre,https://www.farojob.net/wp-content/uploads/2024/07/LOGO-100x100.png,"Avenue 2 Mars, Ksar Hellal, Tunisia",Secteur privé,12 juin 2025,il y a 5 mois,https://www.farojob.net/jobs/clinique-du-centre-recrute-controleur-de-gestion/,https://www.farojob.net/jobs/clinique-du-centre-recrute-controleur-de-gestion/
Farojob,Bestbrands recrute Représentant Commercial circuit Gros Zone Nord-Ouest,Bestbrands,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,nord,Secteur privé,10 juin 2025,il y a 5 mois,https://www.farojob.net/jobs/bestbrands-recrute-representant-commercial-circuit-gros-zone-nord-ouest/,https://www.farojob.net/jobs/bestbrands-recrute-representant-commercial-circuit-gros-zone-nord-ouest/
Farojob,CLINIQUE ELMOUROUJ recrute une licencié,clinique elmourouj,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,"El Mourouj, Ben Arous, Tunisie",Secteur privé,18 novembre 2025,il y a 3 jours,https://www.farojob.net/jobs/clinique-elmourouj-recrute-une-licencie/,https://www.farojob.net/jobs/clinique-elmourouj-recrute-une-licencie/
Farojob,Institut des nouvelles technologies INT recrute Formateur (ice)  en langue française,Institut des nouvelles technologies  INT,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,Lafayette,Secteur privé,18 novembre 2025,il y a 3 jours,https://www.farojob.net/jobs/institut-des-nouvelles-technologies-int-recrute-formateur-ice-en-langue-francaise/,https://www.farojob.net/jobs/institut-des-nouvelles-technologies-int-recrute-formateur-ice-en-langue-francaise/
Farojob,Société d’électroménager recrute Représentants Commerciaux (H/F),Société d’électroménager,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,"Tunis, Gouvernorat de Tunis, Tunisie",Secteur privé,18 novembre 2025,il y a 3 jours,https://www.farojob.net/jobs/societe-delectromenager-recrute-representants-commerciaux-h-f/,https://www.farojob.net/jobs/societe-delectromenager-recrute-representants-commerciaux-h-f/
Farojob,3W WIT Web Agency recrute Développeurs web FULLSTACK,3W WIT Web Agency,https://www.farojob.net/wp-content/uploads/2025/11/logo_300-100x100.jpg,"Ave. Hedi Chaker, Nabeul‎, Tunisie",Secteur privé,5 novembre 2025,il y a 2 semaines,https://www.farojob.net/jobs/3w-wit-web-agency-recrute-developpeurs-web-fullstack/,https://www.farojob.net/jobs/3w-wit-web-agency-recrute-developpeurs-web-fullstack/
Farojob,Tunisol recrute un(e) commercial(e) Nouveau,Tunisol,https://www.farojob.net/wp-content/uploads/2017/02/en-tete.png,"Ariana, Gouvernorat de l'Ariana, Tunisie",Secteur privé,5 novembre 2025,il y a 2 semaines,https://www.farojob.net/jobs/tunisol-recrute-une-commerciale-nouveau/,https://www.farojob.net/jobs/tunisol-recrute-une-commerciale-nouveau/
Farojob,Clinique elmourouj recrute Technicien Biomedicale,clinique elmourouj,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,"El Mourouj, Ben Arous, Tunisie",Secteur privé,12 septembre 2025,il y a 2 mois,https://www.farojob.net/jobs/clinique-elmourouj-recrute-technicien-biomedicale/,https://www.farojob.net/jobs/clinique-elmourouj-recrute-technicien-biomedicale/
Farojob,Magasin Général recrute Acheteur/Acheteuse,Magasin Général,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,Tunis centre ville,Secteur privé,12 septembre 2025,il y a 2 mois,https://www.farojob.net/jobs/magasin-general-recrute-acheteur-acheteuse/,https://www.farojob.net/jobs/magasin-general-recrute-acheteur-acheteuse/
Farojob,Clinique elmourouj recrute Technicien en maintenance,clinique elmourouj,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,"El Mourouj, Ben Arous, Tunisie",Secteur privé,12 septembre 2025,il y a 2 mois,https://www.farojob.net/jobs/clinique-elmourouj-recrute-technicien-en-maintenance/,https://www.farojob.net/jobs/clinique-elmourouj-recrute-technicien-en-maintenance/
Farojob,Expertworkspace recrute Translation from English to arabic,Expertworkspace,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,"- Les Berges du Lac II, MEDTECH Building, 4th floor, - 1053 Tunisia",Freelance,10 septembre 2025,il y a 2 mois,https://www.farojob.net/jobs/expertworkspace-recrute-translation-from-english-to-arabic/,https://www.farojob.net/jobs/expertworkspace-recrute-translation-from-english-to-arabic/
Farojob,Société d’électroménager recrute Responsable hygiène et entretien Bâtiments,Société d’électroménager,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,"Tunis, Gouvernorat de Tunis, Tunisie",Secteur privé,4 septembre 2025,il y a 3 mois,https://www.farojob.net/jobs/societe-delectromenager-recrute-responsable-hygiene-et-entretien-batiments/,https://www.farojob.net/jobs/societe-delectromenager-recrute-responsable-hygiene-et-entretien-batiments/
Farojob,Clinique du centre recrute Agent de Réception (Homme),Clinique du centre,https://www.farojob.net/wp-content/uploads/2024/07/LOGO-100x100.png,"Avenue 2 Mars, Ksar Hellal, Tunisia",Secteur privé,29 août 2025,il y a 3 mois,https://www.farojob.net/jobs/clinique-du-centre-recrute-agent-de-reception-homme/,https://www.farojob.net/jobs/clinique-du-centre-recrute-agent-de-reception-homme/
Farojob,Clinique du centre recrute Technicien Biomédical (option Radiologie),Clinique du centre,https://www.farojob.net/wp-content/uploads/2024/07/LOGO-100x100.png,"Avenue 2 Mars, Ksar Hellal, Tunisia",Secteur privé,20 août 2025,il y a 3 mois,https://www.farojob.net/jobs/clinique-du-centre-recrute-technicien-biomedical-option-radiologie/,https://www.farojob.net/jobs/clinique-du-centre-recrute-technicien-biomedical-option-radiologie/
