source,title,company,description,education,experience,contract,region,skills,date,url,logo,job_type,work_mode,salary,published,modified,location,date_posted,date_ago,see_more
Emploitunisie,Chauffeur - Sfax,SADLIN TRANSPORT,"Nous recrutons un C hauffeur professionnel , présentable et respectueux.",Qualification avant bac,N/A,CDD,Sfax,Sécurité Routière,2025-11-03,https://www.emploitunisie.com/offre-emploi-tunisie/chauffeur-sfax-283024,https://www.emploitunisie.com/sites/emploitunisie.com/files/styles/thumbnail/public/logo/screenshot_2025-09-20_000102.png?itok=R3wsfvhp,,,,,,,,,
Emploitunisie,Responsable SAV - Tunis,RESTOCONCEPT,"Nous sommes à la recherche d'un  Responsable SAV. Missions  : Assurer le bon fonctionnement du service après-vente, le suivi technique et la satisfaction client pour les équipements professionnels pour Cafés, Hôtels & Restaurants.","Qualification avant bac, Bac, Bac+1, Bac+2 & Bac+3",N/A,CDI,Tunis,N/A,2025-11-03,https://www.emploitunisie.com/offre-emploi-tunisie/responsable-sav-tunis-283153,https://www.emploitunisie.com/sites/emploitunisie.com/files/styles/thumbnail/public/logo/screenshot_2025-09-19_210847.png?itok=-X9yrks2,,,,,,,,,
Emploitunisie,Commercial Sédentaire H/F - Tunis,RESTOCONCEPT,"Nous sommes à la recherche des Commerciaux Sédentaires H/F. Missions : Un commercial chasseur qui a pour mission de trouver de nouveaux clients. Il se concentre sur la prospection et la vente. Il cherche activement de nouvelles opportunités de vente et se donne pour objectif de décrocher de nouveaux contrats. Son objectif principal est de réaliser des ventes à court terme et d'augmenter le chiffre d'affaires de l'entreprise. ‍Il doit être une personne très motivée, qui aime relever des défis et atteindre des objectifs. Il est à l'aise avec la négociation",Bac+3,N/A,CDI,Tunis,Négociation - Prospection - Prospection Commerciale - Techniques de Vente - Vente,2025-11-03,https://www.emploitunisie.com/offre-emploi-tunisie/commercial-sedentaire-hf-tunis-283154,https://www.emploitunisie.com/sites/emploitunisie.com/files/styles/thumbnail/public/logo/screenshot_2025-09-19_210847.png?itok=-X9yrks2,,,,,,,,,
Emploitunisie,Technicien Superieur - Ariana,CHAKHARI INGENIERIE,Nous sommes à la recherche des Techniciens Supérieurs en génie civil.,"Bac+3, Bac+4 & Bac+5 et plus",N/A,CDD,Ariana,Topographie,2025-11-03,https://www.emploitunisie.com/offre-emploi-tunisie/technicien-superieur-ariana-283361,https://www.emploitunisie.com/sites/all/themes/africawork3/img/default-logo.png,,,,,,,,,
Emploitunisie,Technico Commercial – Lustres en Bois (H/F) - Tunis,GBN DECO,"Nous sommes à la recherche d'un  Technico Commercial – Lustres en Bois (H/F). Missions principales Prospecter et développer un portefeuille clients B2B Identifier les besoins techniques et proposer des solutions personnalisées Présenter les lustres en bois (fabrication, essences, finitions) et démontrer leur valeur ajoutée Coordonner les dossiers clients : élaboration de devis, suivi technique et logistique, gestion de la relation client Participer à des salons professionnels pour promouvoir l’exclusivité de la société Assurer une veille concurrentielle et technique pour adapter l’offre Remonter les informations du terrain et contribuer à la stratégie commerciale","Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",N/A,CDI,Tunis & International,Communication - Devis - Marketing - Menuiserie - Négociation - Stratégie Commerciale - Vente,2025-11-03,https://www.emploitunisie.com/offre-emploi-tunisie/technico-commercial-lustres-bois-hf-tunis-283390,https://www.emploitunisie.com/sites/emploitunisie.com/files/styles/thumbnail/public/logo/screenshot_2025-09-19_171525.png?itok=jEFJMlYO,,,,,,,,,
Emploitunisie,Technico Commercial Meuble Design - Ariana,STANDING HOUSE,Nous sommes à la recherche d'un  Technico Commercial Meuble Design.,Bac & Bac+1,N/A,CDI,Ariana & Tunis,Négociation - Négociation Commerciale - Vente,2025-11-03,https://www.emploitunisie.com/offre-emploi-tunisie/technico-commercial-meuble-design-ariana-283404,https://www.emploitunisie.com/sites/emploitunisie.com/files/styles/thumbnail/public/logo/screenshot_2025-09-19_172133.png?itok=ozHkgV64,,,,,,,,,
Emploitunisie,Délégué Commercial - Sfax,LABORATOIRE NATURALLABO,Nous sommes à la recherche d'un  Délégué Commercial.,Bac+3,N/A,CDI & CDD,Sfax,N/A,2025-11-03,https://www.emploitunisie.com/offre-emploi-tunisie/delegue-commercial-sfax-283515,https://www.emploitunisie.com/sites/emploitunisie.com/files/styles/thumbnail/public/logo/logo_naturallabo.jpg?itok=4kTf43Ue,,,,,,,,,
Emploitunisie,Assistante Administrative Comptable - Mornaguia,KOMETAL,Notre société cherche à recruter une Assistante Administrative Comptable  polyvalente dynamique Tâches demandés : facturation classement dossiers comptables suivi banque suivi commande clients recouvrement clients règlement fournisseurs,"Bac+3, Bac+4 & Bac+5 et plus",N/A,CDD,Manouba,Achats - Banque - Comptabilité - Facturation - Finance - Gestion - Recouvrement,2025-11-03,https://www.emploitunisie.com/offre-emploi-tunisie/assistante-administrative-comptable-mornaguia-283932,https://www.emploitunisie.com/sites/emploitunisie.com/files/styles/thumbnail/public/logo/screenshot_2025-09-19_165912.png?itok=vkjsdldz,,,,,,,,,
Emploitunisie,Visiteur Pharmaceutique / Médical - Tunis,GROUPE M&M SANTE - MATERNA,Groupe de sociétés recrute dans le cadre du développement de ses activités 3 Visiteurs Pharmaceutiques / Médicaux basés sur le Grand Tunis.,"Bac+2, Bac+3, Bac+4 & Bac+5 et plus",N/A,CDD,Ariana - Ben Arous - Manouba & Tunis,N/A,2025-11-03,https://www.emploitunisie.com/offre-emploi-tunisie/visiteur-pharmaceutique-medical-tunis-284884,https://www.emploitunisie.com/sites/emploitunisie.com/files/styles/thumbnail/public/logo/screenshot_2025-09-19_114847.png?itok=flcQs8AX,,,,,,,,,
Emploitunisie,Animatrice - Tunis,GROUPE M&M SANTE - MATERNA,Groupe de sociétés recrute dans le cadre du développement de ses activités 2 Animatrices en pharmacies / parapharmacies,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",N/A,CDD,Ariana - Ben Arous - Manouba & Tunis,Animation Commerciale,2025-11-03,https://www.emploitunisie.com/offre-emploi-tunisie/animatrice-tunis-284885,https://www.emploitunisie.com/sites/emploitunisie.com/files/styles/thumbnail/public/logo/screenshot_2025-09-19_114847.png?itok=flcQs8AX,,,,,,,,,
