title,company,location,date_posted,url,description,category,job_id
Clinique du centre recrute Agent de Réception (Homme),Clinique du centre,"Avenue 2 Mars, Ksar Hellal, Tunisia",29 août 2025,https://www.farojob.net/jobs/clinique-du-centre-recrute-agent-de-reception-homme/,"Recrutement : Agent de Réception (Homme) La Clinique du Centre à Ksar Hellal recrute un Agent de Réception pour l’accueil des patients et la gestion administrative de la réception. Profil recherché : ✅ Niveau Baccalauréat ✅ À l’aise avec les outils informatiques ✅ Organisé, ponctuel et doté d’un bon sens de la communication ✅ Résidant dans la zone allant de Lamta à Bekalta Informations complémentaires Adresse Ksar Hellal , Monastir, Tunisie",administratif,1
Architens recrute Architecte Technico-Commercial,Architens,Ariana,19 avril 2024,https://www.farojob.net/jobs/architens-recrute-architecte-technico-commercial/,N/A,architecture,2
Styx agency cherche Stagiaire Graphic Design,Styx agency,Gouvernorat de Sousse,29 mai 2023,https://www.farojob.net/jobs/styx-agency-cherche-stagiaire-graphic-design/,"Description de l’emploi Etudiant(e) ou diplômé d’une école supérieure spécialisé en design graphique. Vous maîtrisez la conception graphique et l’utilisation de logiciels de conception tels que Photoshop, Illustrator, After Effects, InDesign et Premiere Pro. Solides compétences en typographie. Une certaine connaissance de la conception UI et UX n’est pas nécessaire mais serait utile. Vous maîtrisez le français et l’anglais qui vous permet de bien communiquer quotidiennement avec nos partenaires. Vous êtes dynamique, passionné, organisé, motivé et un bon communicant. Les compétences techniques requises sont: ·  Illustrator ·  Photoshop ·  After Effects ·  Adobe Première Pro ·  Adobe Flash Compétence Souhaitées: ·  UI ·  UX Exigences du poste Votre portfolio est un must à soumettre lors de l’application pour ce poste. Assurez vous de partager et d’inclure un portfolio au format PDF lors de votre candidature. Comment postuler Envoyez votre CV et portfolio à team@styx-in.com Informations complémentaires Adresse Rue 20 mars, jawhra Sousse",audiovisuel,3
CERMED recrute Technicien / Ingénieur / Biologiste Scientifique,CERMED,Tunis,11 octobre 2021,https://www.farojob.net/jobs/cermed-recrute-technicien-ingenieur-biologiste-scientifique/,"CERMED recrute Technicien Ingénieur Biologiste Scientifique Mission: Vous travaillez sous la direction du conseiller technique sur la mise en œuvre des objectifs des projets Compétences au secteur d’environnement Audit des certifications ISO Coordination des projets Profil : – titulaire d’un diplôme universitaire ( minimum bac +3) – une formation ou une expérience des certifications ISO – disponibilité pour tout déplacement en Tunisie et en Europe – maitrise des langues italienne et française à l’oral comme à l’écrit – expérience au projet de coopération entre la Tunisie et l’Europe – connaissances d’utilisation du programme autocad – dynamique et polyvalent(e) – organisé(e) et autonome Comment postuler : Vous êtes intéressés? Veuillez nous envoyer votre CV et copie de CIN par email: cermedsarl@gmail.com Ville : Tunis Nom / Entreprise : CERMED Email : cermedsarl@gmail.com Tel / Fax : 53119145 Adresse : Avenue de la bourse, immeuble LYS première étage, les berges du lac 2 – 1053 la Marsa Tunis",biologie,4
Call In Call Out recrute Télé-Opérateur,Call In Call Out,khzema ouest,15 mai 2025,https://www.farojob.net/jobs/call-in-call-out-recrute-tele-operateur/,"Description Notre centre d’appel, CALL IN CALL OUT, situé à Khzema et fort d’une expérience de 12 ans sur Sousse souhaite s’agrandir pour répondre à des demandes croissantes venant de Belgique et de France. Notre centre d’appels est géré par des Belges et assure une importante stabilité d’emploi (ancienneté moyenne du personnel actuel : 4 ans) grâce à des missions diversifiées en appels entrants et sortants. Pour répondre à cette évolution, nous recrutons des téléopérateurs. * Profils recherchés: – Homme , passionné de mécanique voiture – Maitrise parfaite du Français – Expérience d’au moins 12 mois en émission d’appel dans un centre d’appels -Vous êtes doté d’un vrai talent commercial : vous avez le sens de l’écoute et la faculté d’analyse. -Vous êtes à l’aise dans l’échange pour convaincre et négocier au téléphone. – Vous êtes capable de travailler de manière autonome tout en contribuant à un esprit d’équipe positif. – Vous êtes assidu , respectueux & rigoureux et cultivez le goût du challenge. – Habitant Sousse. * Ce que nous offrons – Un salaire net pour plein temps 1150 DT + frais dépl. + primes assid. + primes non plafonnées + primes sur challenges. Pour postuler, envoyer vos cv sur najeh@callincallout.be Informations complémentaires Adresse App 503, Imm Wejdene Center, Khzema Ouest, Sousse Salaire proposé 1250 USD 1250 Mois",call-center,5
ASH Consulting recrute Technico-commercial,ASH Consulting,Sfax,31 janvier 2025,https://www.farojob.net/jobs/ash-consulting-recrute-technico-commercial/,"Description de l’emploi Nos clients recherchent des technico-commerciaux pour différentes régions en Tunisie, notamment Sfax, Sousse et le Sud . Si vous êtes passionné(e) par la vente et la technologie , rejoignez-nous et contribuez à améliorer la satisfaction client ! Exigences du poste Maîtrise des techniques de vente Bonne connaissance des produits Excellentes compétences en communication Capacité à travailler en autonomie et en équipe Comment postuler Envoyez votre CV à : recrutement@ashconsulting.tn",commerce,6
csforyou recrute Gestionnaire de paie expérimenté(e) – Maîtrise SAGE COLA – tunisie,csforyou,RUE l argent lac2,7 juillet 2025,https://www.farojob.net/jobs/csforyou-recrute-gestionnaire-de-paie-experimentee-maitrise-sage-cola-tunisie/,"Dans le cadre du développement de nos activités, nous recherchons un(e) gestionnaire de paie expérimenté(e), disponible immédiatement, pour rejoindre notre équipe. Vous interviendrez principalement dans la gestion de la paie pour le compte de nos clients, en utilisant le logiciel SAGE COLA ainsi que d\’autres outils de gestion de paie. Gérer la paie des salariés de nos clients sur SAGE COLA et/ou tout autre logiciel de gestion de paie (saisie des éléments variables, calcul des salaires, éditions des bulletins). Effectuer la Déclaration Sociale Nominative (DSN) et assurer le suivi des déclarations d’embauche. Réaliser le pointage des éléments de paie, contrôler les données, et veiller à leur conformité. Rédiger et préparer les contrats de travail, suivre les formalités liées aux embauches. Gérer les arrêts maladie, les absences, les congés, les IJSS et autres évènements liés à la paie. Répondre aux appels entrants liés à la paie et assurer une relation de qualité avec les clients. Apporter un soutien administratif polyvalent en lien avec la paie et les ressources humaines Profil recherché pour le poste : Gestionnaire de paie expérimenté(e) – Maîtrise SAGE COLA – tunisie Profil recherché Expérience minimum de 2 ans sur le logiciel SAGE COLA (exigée). Solide compréhension du traitement de la paie française et de la législation sociale. Bon niveau de français écrit et oral (indispensable pour les échanges avec les clients). Rigueur, sens de l\’organisation et respect des délais. Réactivité, dynamisme, et capacité à gérer plusieurs tâches en parallèle. Sens du service client, avec une communication claire, professionnelle et bienveillante. Un salaire motivant, adapté à votre profil et votre expérience. Un environnement de travail stimulant au sein d’une équipe dynamique. Critères de l’annonce pour le poste : Gestionnaire de paie expérimenté(e) – Maîtrise SAGE COLA – tunisie Métier : Gestion, comptabilité, finance Secteur d´activité : Banque, assurance, finances Type de contrat : CDI Région : Tunis Ville : Tunisie Travail à distance : Non Niveau d’expérience : Expérience entre 2 ans et 5 ans – Expérience entre 5 ans et 10 ans – Expérience > 10 ans Niveau d’études : Bac+2 – Bac+3 – Bac+4 – Bac+5 et plus Nombre de poste(s) : 2 Salaire proposé : 1 800 – 2 400 TND Management d’équipe : Oui Informations complémentaires Adresse LAC 2 Salaire proposé 1800-2400 USD 1800-2400 Mois",comptabilite,7
Pandp recrute Webmaster,Pandp,"La Soukra, Gouvernorat de l'Ariana, Tunisie",20 août 2024,https://www.farojob.net/jobs/pandp-recrute-webmaster/,"Description de l’emploi Nous sommes à la recherche d’un(e) Webmaster spécialisé(e) en WordPress pour gérer et optimiser notre site e-commerce. Vous serez responsable de la gestion quotidienne du site, de l’amélioration de l’expérience utilisateur, de l’optimisation des performances et de la mise à jour régulière du contenu. Missions : Gérer l’administration du site WordPress et assurer sa maintenance technique. Optimiser la vitesse et les performances du site. Mettre à jour régulièrement le contenu du site (produits, promotions, actualités, etc.). Améliorer l’expérience utilisateur (UX/UI) en suivant les bonnes pratiques du e-commerce. Assurer la sécurité du site en appliquant les mises à jour nécessaires et en mettant en place des mesures de protection. Intégrer et configurer les plugins e-commerce (WooCommerce, extensions de paiement, etc.). Analyser les performances du site via des outils comme Google Analytics et proposer des axes d’amélioration. Collaborer avec l’équipe marketing pour l’intégration des campagnes et la mise en place de stratégies de conversion. Assurer le support technique aux utilisateurs en cas de problèmes liés au site. Profil recherché : Expérience confirmée en gestion de sites WordPress, idéalement dans le domaine du e-commerce. Maîtrise des outils WordPress, WooCommerce, et des plugins e-commerce. Compétences en HTML, CSS, et JavaScript pour les personnalisations avancées. Connaissance des bonnes pratiques en SEO et en sécurité web. Sens de l’initiative, rigueur et capacité à travailler en autonomie. Bonnes compétences en communication pour collaborer avec les différentes équipes (marketing, service client, etc.). Comment postuler Envoyez votre CV et une lettre de motivation à rimawalid13@gmail.com  en précisant « Candidature Webmaster WordPress E-commerce » dans l’objet de l’email. Informations complémentaires Adresse Cité Whata aouina",cosmetique,8
Concours Ministère de la Justice pour le recrutement de 50 Magistrats,Ministère de la Justice,N/A,12 juillet 2024,https://www.farojob.net/jobs/concours-ministere-de-la-justice-pour-le-recrutement-de-50-magistrats/,فتح مناظرة خارجية بالاختبارات للدخول إلى مرحلة التكوين الأساسي للملحقين القضائيين بالمعهد الأعلى للقضاء لانتداب 50 ملحقا قضائيا دورة أوت 2024 تقديم الترشحات : يتعيّن على المترشح للمناظرة ما يلي: . التسجيل في المناظرة عبر الموقع الإلكتروني الرسمي لوزارة العدل وإدراج جميع المعطيات الوجوبية المطلوبة باستمارة الترشح الالكترونية. . إيداع ملف الترشح مباشرة بمكتب الضبط المركزي بوزارة العدل مقابل وصل في ذلك أو إرساله بواسطة البريد مضمون الوصول، والذي يجب أن يتضمن الوثائق التالية: ـ استمارة الترشّح للمناظرة المستخرجة من الموقع الإلكتروني الرسمي لوزارة العدل ممضاة من المترشّح، ـ نسخة من بطاقة التعريف الوطنية، ـ نسخة من الشهادة العلمية المطلوبة، وعند الاقتضاء، من المعادلة بالنسبة إلى الشهادات العلمية الأجنبية أو الشهادات المتحصل عليها من المؤسّسات الخاصّة للتعليم العالي، ـ وثيقة تثبت عند الاقتضاء حق الترشح للمناظرة بعد تجاوز السن القصوى القانونية طبق التشريع الجاري به العمل. شروط الترشح : يجب أن تتوفر في المترشح للمناظرة الشروط التالية أولا : حمل الجنسية التونسية منذ خمسة أعوام على الأقل. ثانيا: التمتع بالحقوق المدنية والسياسية ونقاوة السوابق ، ثالثا: الحصول على الأستاذية أو الإجازة في الحقوق أو في العلوم القانونية من إحدى كليات الحقوق أو إحدى مؤسسات التعليم العالي الخاص أو شهادة أجنبية معادلة لهما. إيداع مطلب الترشح : نسخة من استمارة الترشح المستخرجة من موقع واب الوزارة ممضاة من المترشح طبق القانون. نسخة من بطاقة التعريف، الوطنية. نسخة‏ مطابقة للأصل من النتهادة العلمية المطلوبة أو نسخة مطابقة لأنل: من مقرر المعادلة بالنسبة للشهادات العلمية الأجنبية أو الشهادات المتحصل عليها من المؤسساث الخاصة للتعليم العالي. الإعلان تعمير استمارة الترشح طباعة وتحيين استمارة الترشح,droit,9
Tunisol recrute un(e) commercial(e) Nouveau,Tunisol,"Ariana, Gouvernorat de l'Ariana, Tunisie",5 novembre 2025,https://www.farojob.net/jobs/tunisol-recrute-une-commerciale-nouveau/,"Tunisol cherche un(e) commercial(e) pour renforcer les ventes des systèmes photovoltaïque dans les zones de Sousse, Monastir, Mahdia et Tunis Missions principales : – Visites commerciales – Proposition de l’offre – Signature des contrats – Suivi des clients – Salaire non plafonné ( Salaire fixe + commission sur les ventes ) Une formation à propos de notre produit vous sera dispensé(e) dès votre arrivé(e). EXIGENCES DE L’EMPLOI: Dynamique Présentable Expérience dans le domaine Qualification personnelles : Force de négociation Fortes aptitudes communicationnelles Comment postuler : Veuillez envoyer votre CV à l’adresse tunisol.company@gmail.com pour plus d’information veuillez contacter le numéro : 53 110 550 Informations complémentaires Adresse 81 AVENUE FATOUMA BOURGUIBA SOUKRA",energie,10
