source,title,company,logo,experience,job_type,work_mode,salary,skills,published,modified,url
TuniJobs,Responsable Production et Process,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F686e4c546aad890cd534f577%2Fbdeb815a-9b4f-4b12-b143-eef5007cc1c5.PNG&w=128&q=75,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Production process amélioration continue,Publié:il y a 4 mois,Publié:il y a 4 mois,/company/sit-controls-tunisia/jobs/sit-controls-tunisia-responsable-production-et-process
TuniJobs,MANAGER EXPÉRIENCE CLIENT (CX) – Wamia.tn,Expérience5-7 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F68da9e19797a027b968ddb81%2Fc4c6db4e-c74b-4305-a106-33c084dc4954.jpg&w=128&q=75,Expérience5-7 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience5-7 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience5-7 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience5-7 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,"Mentalité ""Problem-Solver"" Résistance au Stress Maximale Empathie Client Absolue + 2 de plus",Publié:il y a 24 jours,Publié:il y a 24 jours,/company/ste-wamia/jobs/ste-wamia-manager-experience-client-cx-wamia-tn
TuniJobs,Commercial(e) centre de formation – Le Charme de la Pâtisserie,Expérience1-2 ansType d'emploiCDDMode de travailPrésentielRémunération850 - 1200 DT,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F690099b391dd87b31ee5652d%2F1321dbdd-c882-471a-b3c7-7e561d070c19.jpg&w=128&q=75,Expérience1-2 ansType d'emploiCDDMode de travailPrésentielRémunération850 - 1200 DT,Expérience1-2 ansType d'emploiCDDMode de travailPrésentielRémunération850 - 1200 DT,Expérience1-2 ansType d'emploiCDDMode de travailPrésentielRémunération850 - 1200 DT,Expérience1-2 ansType d'emploiCDDMode de travailPrésentielRémunération850 - 1200 DT,Communication orale claire et ... Techniques de vente et de négo... Gestion des appels entrants et... + 3 de plus,Publié:il y a 24 jours,Publié:il y a 24 jours,/company/le-charme-de-la-patisserie/jobs/le-charme-de-la-patisserie-commercial-e-centre-de-formation-le-charme-de-la-patisserie
TuniJobs,Community Sales Manager,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunération1600 DT,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F68d3b891f647531afd24b1f3%2F7bed2ae3-8193-43cc-b516-13c691151792.jpg&w=128&q=75,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunération1600 DT,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunération1600 DT,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunération1600 DT,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunération1600 DT,vente et négociation gestion de communauté et en re... communication et service clien... + 1 de plus,Publié:il y a 2 mois,Publié:il y a 2 mois,/company/iwgplc-tunisie/jobs/iwgplc-tunisie-community-sales-manager
TuniJobs,Conseillers Commerciaux en Assurance Santé,Expérience1-2 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F68c19235d76a5092611e7d4b%2F6e863b43-a1bf-4591-be74-91a9c1c0b918.png&w=128&q=75,Expérience1-2 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience1-2 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience1-2 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience1-2 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience préalable de 2 ans ... Bonnes capacités commerciales ...,Publié:il y a 2 mois,Publié:il y a 2 mois,/company/premunia/jobs/premunia-conseillers-commerciaux-en-assurance-sante
TuniJobs,Conseiller Commercial Mutuelle Santé & Prévoyance (H/F),Expérience6-12 moisType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F68d12ab060b99373a90ec170%2Fc2f27f59-2123-49c2-9984-d011ff838d5c.png&w=128&q=75,Expérience6-12 moisType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience6-12 moisType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience6-12 moisType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience6-12 moisType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,"Sens du service et de l'écoute... Dynamisme, Proactivité, Capaci...",Publié:il y a un mois,Publié:il y a un mois,/company/adam-eden-eva/jobs/adam-eden-eva-conseiller-commercial-mutuelle-sante-and-prevoyance-h-f
TuniJobs,Commercial B to B expérimenté,Expérience5-7 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F68f9dc87eac5723064a20c0f%2F43c354e6-0fb1-4aed-97d8-f7661dfb1840.jpg&w=128&q=75,Expérience5-7 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience5-7 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience5-7 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience5-7 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Maîtrise des techniques de ven... Capacité à identifier les beso... Excellent niveau de français o... + 4 de plus,Publié:il y a un mois,Publié:il y a un mois,/company/altra-call/jobs/altra-call-commercial-b-to-b-experimente
TuniJobs,Expert ERP Sage 100 (API & Objets Métiers) - Télétravail,Expérience5-7 ansType d'emploiCDIMode de travailTélétravail completRémunération1500 - 2800 DT,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F678d151af15cf2fdf8ef857f%2Fa052848d-99cb-4b03-9f5d-249c2135d260.jpg&w=128&q=75,Expérience5-7 ansType d'emploiCDIMode de travailTélétravail completRémunération1500 - 2800 DT,Expérience5-7 ansType d'emploiCDIMode de travailTélétravail completRémunération1500 - 2800 DT,Expérience5-7 ansType d'emploiCDIMode de travailTélétravail completRémunération1500 - 2800 DT,Expérience5-7 ansType d'emploiCDIMode de travailTélétravail completRémunération1500 - 2800 DT,Sage100 ERP Processus Comptables + 3 de plus,Publié:il y a 5 mois,Publié:il y a 5 mois,/company/backoff-solutions/jobs/backoff-solutions-expert-erp-sage-100-api-and-objets-metiers-teletravail
TuniJobs,QA Analyst / Testeur Fonctionnel,Expérience2-5 ansType d'emploiCDIMode de travailTélétravail completRémunérationConfidentiel,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F678d151af15cf2fdf8ef857f%2Fa052848d-99cb-4b03-9f5d-249c2135d260.jpg&w=128&q=75,Expérience2-5 ansType d'emploiCDIMode de travailTélétravail completRémunérationConfidentiel,Expérience2-5 ansType d'emploiCDIMode de travailTélétravail completRémunérationConfidentiel,Expérience2-5 ansType d'emploiCDIMode de travailTélétravail completRémunérationConfidentiel,Expérience2-5 ansType d'emploiCDIMode de travailTélétravail completRémunérationConfidentiel,Cypress Playwright QA + 4 de plus,Publié:il y a 4 mois,Publié:il y a 4 mois,/company/backoff-solutions/jobs/backoff-solutions-qa-analyst-testeur-fonctionnel
TuniJobs,Développeur·se IA – Spécialisation LLM / Agents autonomes - Télétravail,Expérience2-5 ansType d'emploiCDIMode de travailTélétravail completRémunération1900 - 3500 DT,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F678d151af15cf2fdf8ef857f%2Fa052848d-99cb-4b03-9f5d-249c2135d260.jpg&w=128&q=75,Expérience2-5 ansType d'emploiCDIMode de travailTélétravail completRémunération1900 - 3500 DT,Expérience2-5 ansType d'emploiCDIMode de travailTélétravail completRémunération1900 - 3500 DT,Expérience2-5 ansType d'emploiCDIMode de travailTélétravail completRémunération1900 - 3500 DT,Expérience2-5 ansType d'emploiCDIMode de travailTélétravail completRémunération1900 - 3500 DT,AI IA LLM,Publié:il y a 4 mois,Publié:il y a 4 mois,/company/backoff-solutions/jobs/backoff-solutions-developpeur-se-ia-specialisation-llm-agents-autonomes-teletravail
